IndividualID,Name,Abbreviation,Birthdate,Gender,Age,GroupID,Description
2,Amy,A,,,,Airstrip Group,
3,Bobble,B,,,,Airstrip Group,
4,Crazy,C,,,,Airstrip Group,
5,Donnie,D,,,,Airstrip Group,
6,Ebert,E,,,,Airstrip Group,
7,Fumble,F,,,,Airstrip Group,
8,Gimpy,G,,,,Airstrip Group,
9,Hydra,H,,,,Airstrip Group,
10,Izzie,I,,,,Airstrip Group,
11,Jumpy,J,,,,Airstrip Group,
12,Krinkle,K,,,,Airstrip Group,
13,Lonnie,L,,,,Airstrip Group,
14,Madison,M,,,,Airstrip Group,
43,Nattie,N,,,,Airstrip Group,
44,Ornery,O,,,,Airstrip Group,
45,Punky,P,,,,Airstrip Group,
46,Queen,Q,,,,Airstrip Group,
47,Ryan,R,,,,Airstrip Group,
48,Sampson,S,,,,Airstrip Group,
49,Timmy,T,,,,Airstrip Group,
50,Underfoot,U,,,,Airstrip Group,
51,Vavoom,V,,,,Airstrip Group,
52,Whiny,W,,,,Airstrip Group,
53,X-ray,X,,,,Airstrip Group,
54,Youngun,Y,,,,Airstrip Group,
55,Zen,Z,,,,Airstrip Group,
